Wall time,Step,Value
1519830607.264204,239,-0.2912166714668274
1519830607.478809,240,-0.2739349901676178
1519830607.692752,241,-0.24371565878391266
1519830607.926207,242,-0.2653215229511261
1519830608.160391,243,-0.2684003710746765
1519830608.375968,244,-0.25391292572021484
1519830608.59074,245,-0.24436096847057343
1519830608.810265,246,-0.24312245845794678
1519830609.03935,247,-0.28212520480155945
1519830609.27668,248,-0.25917312502861023
1519830609.490517,249,-0.2532578408718109
1519830609.706143,250,-0.2601727843284607
1519830609.924139,251,-0.2541734278202057
1519830610.141831,252,-0.27995118498802185
1519830610.35735,253,-0.25634533166885376
1519830610.576835,254,-0.25428181886672974
1519830610.806473,255,-0.2806052565574646
1519830611.020302,256,-0.23302774131298065
1519830611.452977,257,-0.1547536998987198
1519830611.812103,258,-0.17712938785552979
1519830612.248947,259,-0.17260430753231049
1519830612.613438,260,-0.1673341691493988
1519830612.96834,261,-0.1737038940191269
1519830613.303159,262,-0.20609073340892792
1519830613.669215,263,-0.20159807801246643
1519830614.038609,264,-0.2093508541584015
1519830614.375606,265,-0.18208223581314087
1519830614.812092,266,-0.188278928399086
1519830615.20324,267,-0.2052714228630066
1519830615.55515,268,-0.23995821177959442
1519830616.028174,269,-0.18199275434017181
1519830616.342611,270,-0.2296213060617447
1519830616.757373,271,-0.18539607524871826
1519830617.146429,272,-0.20827865600585938
1519830617.623942,273,-0.17008160054683685
1519830617.996102,274,-0.23257263004779816
1519830618.482979,275,-0.16449637711048126
1519830618.938066,276,-0.1731652021408081
1519830619.457181,277,-0.16505105793476105
1519830622.407141,278,-0.042184244841337204
1519830622.792407,279,-0.20311149954795837
1519830623.388257,280,-0.1576923429965973
1519830623.833153,281,-0.19486653804779053
1519830624.222595,282,-0.2068321853876114
1519830624.813487,283,-0.1373462975025177
1519830625.257101,284,-0.24143092334270477
1519830625.757251,285,-0.1624387800693512
1519830626.171246,286,-0.21243779361248016
1519830626.884451,287,-0.17057442665100098
1519830629.953378,288,-0.05078379809856415
1519830630.31889,289,-0.28337812423706055
1519830633.451658,290,-0.060441162437200546
1519830638.501758,291,-0.09658753871917725
1519830639.418558,292,-0.12833622097969055
1519830639.895529,293,-0.17678861320018768
1519830640.38621,294,-0.17696191370487213
1519830641.623099,295,-0.08812239021062851
1519830642.559139,296,-0.1301753968000412
1519830643.031149,297,-0.16947419941425323
1519830643.530782,298,-0.1781466007232666
1519830643.992053,299,-0.152456596493721
1519830644.480658,300,-0.18736998736858368
1519830645.499983,301,-0.18677039444446564
1519830645.975384,302,-0.1582932323217392
1519830646.943891,303,-0.12616518139839172
1519830647.770924,304,-0.09697355329990387
1519830651.063361,305,-0.04776745289564133
1519830654.731068,306,-0.04337378218770027
1519830655.564769,307,-0.10626615583896637
1519830658.775906,308,-0.042040202766656876
1519830662.077385,309,-0.0351676419377327
1519830662.541289,310,-0.1486620157957077
1519830667.884153,311,-0.01473220530897379
1519830668.358079,312,-0.17160381376743317
1519830673.697331,313,-0.013163608498871326
1519830674.199993,314,-0.16466262936592102
1519830679.623466,315,-0.013496208004653454
1519830684.99471,316,-0.010744615457952023
1519830690.425522,317,-0.013752694241702557
1519830691.018127,318,-0.1930314004421234
1519830696.341612,319,-0.011845054104924202
1519830697.001053,320,-0.20571959018707275
1519830702.315518,321,-0.010847880505025387
1519830707.66213,322,-0.009751356206834316
1519830713.025263,323,-0.010666053742170334
1519830718.496513,324,-0.00994862150400877
1519830723.883642,325,-0.010469366796314716
1519830729.248095,326,-0.009591255336999893
1519830734.591432,327,-0.010725938715040684
1519830740.06093,328,-0.009952128864824772
1519830745.500239,329,-0.010445420630276203
1519830750.95531,330,-0.01198522001504898
1519830756.41681,331,-0.010763103142380714
1519830761.958649,332,-0.01210167445242405
1519830767.382199,333,-0.012853865511715412
1519830772.905408,334,-0.017373256385326385
1519830778.356692,335,-0.016213631257414818
1519830783.813142,336,-0.016649428755044937
